datetime_utc,reversal_type,declination_deg,row_index_center
1902-09-12 17:12,declination_min,-26.723885,141
1906-01-01 10:52,declination_min,-22.394054,313
1909-11-04 12:17,declination_min,-24.696778,514
1911-12-11 16:06,declination_min,13.777082,623
1913-09-15 07:51,declination_min,-25.77326,715
1916-12-15 19:17,declination_min,-23.059465,885
1922-12-26 12:39,declination_min,9.910302,1199
1924-09-26 10:20,declination_min,-22.68829,1291
1927-11-30 03:42,declination_min,-23.713269,1456
1931-09-17 12:36,declination_min,-26.593674,1655
1935-01-07 11:09,declination_min,-22.181867,1827
1938-11-11 21:52,declination_min,-24.444611,2028
1939-11-18 18:33,declination_min,0.604864,2081
1942-09-12 20:00,declination_min,-26.427372,2228
1945-12-21 21:37,declination_min,-22.861655,2399
1951-12-21 23:22,declination_min,11.311474,2712
1953-09-22 23:59,declination_min,-23.84016,2803
1956-12-04 19:39,declination_min,-23.534397,2970
1963-01-06 18:56,declination_min,6.757463,3288
1964-01-12 11:24,declination_min,-22.007895,3341
1967-11-18 02:40,declination_min,-24.233895,3542
1971-09-11 21:11,declination_min,-26.75595,3741
1974-12-27 14:49,declination_min,-22.662382,3913
1978-10-28 19:49,declination_min,-25.053375,4113
1980-12-16 10:42,declination_min,12.583549,4224
1982-09-19 04:46,declination_min,-25.018825,4316
1985-12-11 02:49,declination_min,-23.327057,4484
1992-01-01 19:57,declination_min,8.38572,4800
1993-01-17 10:44,declination_min,-21.797224,4855
1996-11-23 01:52,declination_min,-24.043147,5056
2000-09-11 11:15,declination_min,-26.876106,5254
2004-01-01 21:18,declination_min,-22.490291,5427
2007-11-04 07:33,declination_min,-24.826207,5627
2009-12-12 16:26,declination_min,13.633706,5737
2011-09-16 08:49,declination_min,-25.802705,5829
2014-12-16 19:00,declination_min,-23.137709,5998
2020-12-27 06:52,declination_min,9.792655,6313
2022-09-27 15:05,declination_min,-22.640437,6404
